agent_id,client,tag_hash,score,block_timestamp
31793,0x668add9213985e7fd613aec87767c892f4b9df1c,0xd2d827af457cf64156642e178a359c554f7e701b96401ee9d0ebe3bcf325a527,90.0,2026-06-06 22:14:23.000000 UTC
32057,0x668add9213985e7fd613aec87767c892f4b9df1c,0xd2d827af457cf64156642e178a359c554f7e701b96401ee9d0ebe3bcf325a527,95.0,2026-06-06 22:14:35.000000 UTC
32303,0x668add9213985e7fd613aec87767c892f4b9df1c,0xd2d827af457cf64156642e178a359c554f7e701b96401ee9d0ebe3bcf325a527,95.0,2026-06-06 22:14:47.000000 UTC
22759,0x668add9213985e7fd613aec87767c892f4b9df1c,0xd2d827af457cf64156642e178a359c554f7e701b96401ee9d0ebe3bcf325a527,100.0,2026-06-07 22:26:47.000000 UTC
22776,0x668add9213985e7fd613aec87767c892f4b9df1c,0xd2d827af457cf64156642e178a359c554f7e701b96401ee9d0ebe3bcf325a527,100.0,2026-04-29 02:18:11.000000 UTC
6888,0x6446ad9821021eeb9f85b8a18b0153d58166d161,0x78e1e3307b96bc9e3a8218e03b133d8df84bb8c7c94a9e8b009203253ba39b29,1.0,2026-03-15 21:24:11.000000 UTC
9382,0x6446ad9821021eeb9f85b8a18b0153d58166d161,0x78e1e3307b96bc9e3a8218e03b133d8df84bb8c7c94a9e8b009203253ba39b29,1.0,2026-03-15 21:28:59.000000 UTC
28268,0xb9aa4be51fbe8f217930c16ec960639638cebbf1,0xd6be4ef8f6e81499fcacb6176a8acae193c21b062774e32379bf3b823e83bd19,100.0,2026-03-03 17:10:59.000000 UTC
28532,0x3e17b0b72a0058d72c386632be69c764648ce703,0xd6be4ef8f6e81499fcacb6176a8acae193c21b062774e32379bf3b823e83bd19,90.0,2026-03-13 18:24:47.000000 UTC
34135,0x3c0f814eb32a0fb03dd8aa18702891f30d33578d,0xd6be4ef8f6e81499fcacb6176a8acae193c21b062774e32379bf3b823e83bd19,100.0,2026-06-10 11:19:23.000000 UTC
22745,0x668add9213985e7fd613aec87767c892f4b9df1c,0xd2d827af457cf64156642e178a359c554f7e701b96401ee9d0ebe3bcf325a527,100.0,2026-04-27 14:17:59.000000 UTC
22741,0x668add9213985e7fd613aec87767c892f4b9df1c,0xd2d827af457cf64156642e178a359c554f7e701b96401ee9d0ebe3bcf325a527,100.0,2026-04-27 14:18:11.000000 UTC
22750,0x668add9213985e7fd613aec87767c892f4b9df1c,0xd2d827af457cf64156642e178a359c554f7e701b96401ee9d0ebe3bcf325a527,100.0,2026-04-27 14:18:23.000000 UTC
12288,0x668add9213985e7fd613aec87767c892f4b9df1c,0x7aa61f7d41f5fab2b7227198d10b8e1d66c06c49409fec49270e545030a3cdfb,4.0,2026-03-28 18:55:11.000000 UTC
12267,0x668add9213985e7fd613aec87767c892f4b9df1c,0x52bbdfa15e62c39082fe3285f8a586fcfbf49024106a032b3bc774d6ffdd876d,3.0,2026-03-28 19:07:59.000000 UTC
6888,0x668add9213985e7fd613aec87767c892f4b9df1c,0x52bbdfa15e62c39082fe3285f8a586fcfbf49024106a032b3bc774d6ffdd876d,3.0,2026-03-28 19:08:11.000000 UTC
12288,0x668add9213985e7fd613aec87767c892f4b9df1c,0x52bbdfa15e62c39082fe3285f8a586fcfbf49024106a032b3bc774d6ffdd876d,3.0,2026-03-28 19:08:23.000000 UTC
34135,0xc07fa44c3766717a2ec921e3f31648e74b3e67a4,0xd6be4ef8f6e81499fcacb6176a8acae193c21b062774e32379bf3b823e83bd19,100.0,2026-06-10 08:44:35.000000 UTC
34135,0x9a36a0a01d737923208d8979d73372c7a0a80117,0xd6be4ef8f6e81499fcacb6176a8acae193c21b062774e32379bf3b823e83bd19,100.0,2026-06-10 09:05:35.000000 UTC
34135,0x9a36a0a01d737923208d8979d73372c7a0a80117,0xd6be4ef8f6e81499fcacb6176a8acae193c21b062774e32379bf3b823e83bd19,100.0,2026-06-10 09:21:47.000000 UTC
6888,0x3700148cbfbdd60885d4b5a16992b285670062b4,0xc5d2460186f7233c927e7db2dcc703c0e500b653ca82273b7bfad8045d85a470,100.0,2026-01-31 03:12:11.000000 UTC
12267,0x432ddc0411c989ca193564020b8e74e5651c6199,0xd6be4ef8f6e81499fcacb6176a8acae193c21b062774e32379bf3b823e83bd19,100.0,2026-03-10 04:07:47.000000 UTC
12288,0x432ddc0411c989ca193564020b8e74e5651c6199,0xd6be4ef8f6e81499fcacb6176a8acae193c21b062774e32379bf3b823e83bd19,100.0,2026-03-10 04:10:59.000000 UTC
12267,0x378d3bdfe96cfcf60fcc3ca23f2e0c62a47529a5,0xd6be4ef8f6e81499fcacb6176a8acae193c21b062774e32379bf3b823e83bd19,100.0,2026-03-11 03:19:23.000000 UTC
12288,0x378d3bdfe96cfcf60fcc3ca23f2e0c62a47529a5,0xd6be4ef8f6e81499fcacb6176a8acae193c21b062774e32379bf3b823e83bd19,100.0,2026-03-11 03:19:59.000000 UTC
34135,0x2bf9c50e72932740c2fade031aa5d277f45523fb,0xd6be4ef8f6e81499fcacb6176a8acae193c21b062774e32379bf3b823e83bd19,100.0,2026-06-04 07:32:47.000000 UTC
